city,aqi_value,aqi_category,pm2.5_aqi_value,meal_cheap_usd,meal_midrange_usd,rent_1br_outside_usd,rent_3br_city_usd,basic_utilities_usd,monthly_pass_usd,avg_net_salary_usd,popcity,densitycity,congestion2019,crime_index,safety_index,aqi_score,pm25_score,air_quality_score,cost_index_raw,cost_score_absolute,monthly_living_cost,affordability_ratio,cost_score_affordability,safety_score,density_score_raw,congestion_score,urban_score,country,livability_score_absolute,livability_score_affordability,rank_absolute,rank_affordability
Phoenix,72,Moderate,72,18.5,70.0,1476.19,2711.17,209.47,64.0,5090.45,1445632.0,1077.541931,13.0,53.6,46.4,88.98,84.81,86.48,790.089,70.11,2304.66,45.27,93.02,41.44,98.0570669569443,87.23,92.64,United States Of America,71.54,78.41,277,166
Dar Es Salaam,51,Moderate,51,2.14,24.65,364.59,809.6,92.87,5.32,264.32,4364541.0,3133.195262,20.0,46.6,53.4,93.35,89.57,91.08,201.829,93.69,526.98,199.37,47.33,51.1,98.19262758813446,72.34,85.27,United Republic Of Tanzania,80.71,66.8,80,322
Hangzhou,203,Very Unhealthy,151,4.27,32.03,320.85,1026.14,38.07,15.66,1079.52,8405527.14,1013.691165,20.0,46.6,53.4,61.75,66.89,64.83,170.45900000000003,94.95,502.68000000000006,46.57,92.63,51.1,97.81545090239172,72.34,85.08,China,74.48,73.79,228,264
Tauranga,19,Good,17,19.88,83.38,692.71,1543.64,127.86,57.73,2597.67,114789.0,683.2678571,21.0,46.6,53.4,100.0,97.28,98.37,381.67600000000004,86.48,1474.7,56.77,89.61,51.1,96.34947822652714,70.21,83.28,New Zealand,79.97,80.91,102,110
Tianjin,142,Unhealthy for Sensitive Groups,142,4.27,28.47,275.22,1085.46,76.64,15.78,875.36,15582374.43,1325.031839,21.0,46.6,53.4,74.43,68.93,71.13,155.37000000000003,95.55,495.74,56.63,89.65,51.1,98.86269191870467,70.21,84.54,China,76.13,74.36,197,257
Fuzhou,168,Unhealthy,99,2.99,17.79,194.55,612.13,49.32,42.71,781.77,3918485.982,2231.484044,20.0,46.6,53.4,69.02,78.68,74.82,112.00800000000001,97.29,376.28,48.13,92.17,51.1,99.97935703905303,72.34,86.16,China,77.9,76.36,168,226
Salvador,30,Good,30,4.79,24.91,191.59,609.9,76.54,24.91,227.1,2676606.0,3786.935484,30.0,76.6,23.4,97.71,94.33,95.68,114.552,97.19,436.74,192.31,49.42,9.67,95.1679051410194,51.06,73.11, Brazil,70.12,55.79,292,347
Richmond,76,Moderate,76,25.0,57.5,1282.5,2088.89,153.72,43.5,5760.89,204214.0,1315.768898,9.0,46.6,53.4,88.15,83.9,85.6,681.344,74.47,2229.72,38.7,94.97,51.1,98.83632715378504,95.74,97.29,United States Of America,75.97,82.12,200,75
Richmond,76,Moderate,76,14.82,59.29,1507.0,3816.92,148.54,74.3,3740.95,204214.0,1315.768898,9.0,46.6,53.4,88.15,83.9,85.6,793.602,69.97,2174.44,58.13,89.21,51.1,98.83632715378504,95.74,97.29,United States Of America,74.62,80.4,225,119
Lublin,32,Good,28,6.31,27.04,435.2,598.42,165.27,26.82,864.03,357110.0,2421.905731,26.0,46.6,53.4,97.3,94.78,95.79,254.59799999999998,91.58,816.59,94.51,78.42,51.1,99.84129081616572,59.57,79.71,Poland,80.14,76.19,96,230
