city,country,congestionlevel,morningpeak,eveningpeak,highways,nonhighways,indexofbuildingdensity150800mixr,indexofbuildingdensity150800resi,indexofbuildingdensity150800,bombed,population
Brisbane,Australia,25,43,46,18,28,7.4000001,6.105,18.5,0,2.2746
Melbourne,Australia,28,52,51,21,35,27.030001,20.4,51,0,4.4429188
Perth,Australia,27.000002,46,46,20,29,2.55,1.275,7.5,0,2.0211999
Sydney,Australia,35,66,64,31,37,17.1,11.4,47.5,0,4.8406
Vienna,Austria,29,43,52.999996,20,33,5.5,1.8150001,5.5,1,1.805681
Curitiba,Brazil,19,32,39,14,24,3.48,0,3,0,1.76454
Rio de Janeiro,Brazil,51,72,81,49,52,0,0,4.5,0,6.4536819
Sao Paulo,Brazil,33,44,58.999996,23,43,12.045,10.56,16.5,0,11.895893
Calgary,Canada,22,35,45,15.000001,25,2.6400001,0,24,0,1.096833
Montreal,Canada,27.000002,48,57,22,30.000002,2.53,1.265,11.5,0,1.649519
Toronto,Canada,31,52.999996,66,24,35,49.279999,35.84,64,0,2.6150603
Vancouver,Canada,35,52.999996,66,13,41,3.5,0.875,3.5,0,0.60350198
Beijing,China,37,63,74,43,35,10.66,2.05,41,0,20.538935
Changsha,China,33,54.000004,64,35,33,10.08,6.48,24,1,3.734596
Chengdu,China,36,64,67,24,37,37.834999,28.174999,80.5,1,8.3217812
Chongqing,China,38,82,84,32,39,89.699997,11.7,130,1,19.564205
Dongguan,China,25,41,54.000004,20,26,232.47,172.935,12.5,1,8.3298883
Fuzhou,China,34,58.999996,74,21,35,5.7750001,5.7750001,16.5,1,3.0061929
Guangzhou,China,37,40,73,31,40,78,59.279999,156,1,13.003683
Hangzhou,China,34,58.999996,63,38,34,12.95,7.6999998,35,1,7.1022329
Nanjing,China,32,58.999996,62,27.000002,33,34.5,12,75,1,8.2019157
Ningbo,China,30.000002,58.999996,69,16,30.000002,3.25,1.105,6.5,1,3.561383
Quanzhou,China,30.000002,39,61,32,30.000002,1.5,0,3,1,1.502247
Shanghai,China,35,66,67,39,34,69.279999,30.309999,216.5,1,23.504747
Shenyang,China,34,56,65,22,34,39.959999,32.744999,55.5,1,6.4735351
Shenzhen,China,34,54.000004,81,28,35,39.525002,14.025,127.5,0,10.703917
Suzhou,China,25,50,55,18,26,8.8000002,4.4000001,20,1,5.475697
Tianjin,China,38,56,64,17,40,33.540001,16.77,64.5,1,13.580527
Wuhan,China,29,51,58,20,30.000002,18.525,10.45,47.5,1,7.0187411
Wuxi,China,21,37,48,9,23,26.35,12.4,31,1,3.608963
Xiamen,China,26,43,64,18,26,15.25,12.505,30.5,1,3.7700131
Frankfurt am Main,Germany,27.000002,52.999996,49,22,33,1.645,0,23.5,1,0.70134997
Milan,Italy,30.000002,66,55,20,36,0,0,5.5,1,1.337155
Mexico City,Mexico,55,93,89,46,58.999996,7.875,4.375,17.5,0,8.8510799
Amsterdam,Netherlands,19,32,38,8,33,0,0,1.5,1,0.82507998
Rotterdam,Netherlands,19,31,43,11,27.000002,4.5,3,7.5,1,0.61987901
Auckland,New Zealand,32,68,73,29,35,1.5,1.5,3,0,1.4137
Warsaw,Poland,40,69,75,37,42,3.74,2.8050001,8.5,1,1.740119
Moscow,Russia,50,77,103,67,45,42.264999,32.099998,53.5,1,12.197596
Riyadh,Saudi Arabia,26,29,42,24,27.000002,3.25,0.77999997,13,0,5.6999998
Singapore,Singapore,33,54.000004,65,24,38,57.27,44.82,124.5,1,5.4696999
Johannesburg,South Africa,26,58.999996,54.000004,14,31,1.65,1.65,5,0,0.95744097
Barcelona,Spain,27.000002,45,44,16,29,2.25,2.25,3,0,1.620943
Bilbao,Spain,13,20,19,1,17,1.5,0,1.5,0,0.34857398
Madrid,Spain,21,43,36,11,27.000002,1.9,0,9.5,0,3.165235
Taipei,Taiwan,39,55,77,27.000002,40,13.16,11.48,28,0,2.7023151
Abu Dhabi,United Arab Emirates,14,19,25,8,17,37.619999,23.370001,57,0,2.3299999
London,United Kingdom,37,65,67,22,43,8.3999996,4.1999998,28,1,8.4165354
Atlanta,United States,24,45,58.999996,17,30.000002,13.42,9.4549999,30.5,0,0.44784099
Austin,United States,25,42,61,20,26,3.75,3.75,5,0,0.91279101
Baltimore,United States,19,30.000002,46,12,28,0,0,4.5,0,0.62279302
Boston,United States,24,41,52,18,30.000002,3.0799999,3.0799999,28,0,0.65588403
Buffalo,United States,16,24,33,7,25,0,0,1.5,0,0.282864
Charlotte,United States,18,31,48,9,26,1.785,1.785,10.5,0,0.80995798
Chicago,United States,27.000002,43,58.999996,21,32,105.205,73.445,198.5,0,2.7223892
Cincinnati,United States,15.000001,27.000002,41,9,23,0,0,5,0,0.297517
Cleveland,United States,12,20,25,5,21,0,0,7.5,0,0.389521
Columbus,United States,15.000001,23,41,6,26,0,0,7.5,0,0.83595699
Denver,United States,22,35,50,15.000001,26,1.625,1.625,12,0,0.66386199
Detroit,United States,18,29,44,13,23,7.25,3.125,12.5,0,0.68024999
Hartford,United States,16,28,40,13,21,0,0,4.5,0,0.124893
Houston,United States,25,46,68,21,29,10.115,6.5450001,59.5,0,2.2395589
Indianapolis,United States,13,20,35,5,23,0,0,5,0,0.84878802
Jacksonville,United States,15.000001,27.000002,38,6,27.000002,0,0,3,0,0.85338199
Kansas City,United States,11,17,26,5,20,0,0,3,0,2.7536397
Las Vegas,United States,24,22,39,8,28,21,8.3999996,21,0,0.583736
Los Angeles,United States,39,60.000004,80,36,42,6.6399999,6.6399999,41.5,0,3.928864
Louisville,United States,17,23,44,8,27.000002,0,0,3,0,0.756832
Miami,United States,27.000002,46,56,14,36,43.200001,32.639999,48,0,0.41765001
Milwaukee,United States,15.000001,29,35,10,19,0,0,3,0,0.59964198
Minneapolis,United States,17,30.000002,43,12,23,0,0,15.5,0,0.40720701
New Orleans,United States,23,32,50,14,27.000002,0,0,6.5,0,0.38431999
New York,United States,31,48,56,24,37,178.425,134.81,396.5,0,19.746227
Oklahoma City,United States,15.000001,20,33,6,26,0,0,5,0,0.62060201
Philadelphia,United States,23,38,49,16,29,7.2199998,2.8499999,19,0,1.560297
Pittsburgh,United States,19,31,41,11,26,1.45,1.45,14.5,0,0.305841
Portland,United States,26,35,61,20,29,2.25,0,4.5,0,0.61936003
San Diego,United States,24,41,52.999996,14,34,1.485,1.485,4.5,0,1.3810689
San Francisco,United States,34,52.999996,68,29,39,9.8999996,5.6100001,33,0,0.85246909
